Timestamp,ECG,GSR,Gas,Pulse_IR,Temp_Max,Label
959695,1120,0,172,134509,35.00,-6.22,-6.57
959717,1014,0,158,134455,35.00,-6.27,-6.62
959739,1173,0,158,134390,35.00,-6.17,-6.57
959761,1583,0,167,134408,35.00,-6.21,-6.56
959803,2066,0,178,134438,35.00,-6.25,-6.57
959825,2701,0,202,134503,35.00,-6.25,-6.62
959847,2787,0,188,134535,35.00,-6.22,-6.60
959869,2718,0,201,134587,35.00,-6.27,-6.57
959891,2276,0,197,134505,35.00,-6.18,-6.56
959913,1609,0,179,134451,35.00,-6.23,-6.58
959935,1033,0,169,134530,35.00,-6.22,-6.58
959957,984,0,159,134433,35.00,-6.24,-6.61
959979,939,0,165,134357,35.00,-6.20,-6.58
960549,1549,0,179,134432,33.89,-6.25,-6.56
960585,2175,0,191,134834,35.00,-6.23,-6.56
960607,3053,0,191,134962,35.00,-6.22,-6.58
